price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,sqft_above,lat,long,sqft_living15,sqft_lot15,houseage,has_underground,has_renovated
535000,3,1,1090,3000,1,0,1090,47.6889,-122.375,1570,5080,85,0,0
322500,4,2,2060,6659,1,0,1280,47.4276,-122.157,2020,8720,33,1,0
696000,3,2,2300,3060,1,0,1510,47.6827,-122.31,1590,3264,84,1,1
550000,4,1,1660,34848,1,0,930,47.6621,-122.132,2160,11467,81,1,0
640000,4,2,2360,6000,2,0,2360,47.6702,-122.362,1730,4700,110,0,0
240000,4,1,1220,8075,1,0,890,47.3341,-122.282,1290,7800,46,1,0
605000,4,2,2620,7553,2,0,2620,47.5301,-122.18,2620,11884,18,0,0
625000,4,2,2570,5520,2,0,2570,47.6145,-122.027,2470,5669,14,0,0
775000,4,2,4220,24186,1,0,2600,47.445,-122.347,2410,30617,30,1,0
861990,5,2,3595,5639,2,0,3595,47.6848,-122.016,3625,5639,1,0,0
685000,3,1,1570,2280,2,0,1570,47.6413,-122.364,1580,2640,92,0,0
309000,3,1,1280,9656,1,0,920,47.4485,-122.175,1340,8808,55,1,0
488000,3,2,3160,13603,2,0,3160,47.7443,-121.977,3050,9232,11,0,0
210490,3,1,990,8528,1,0,990,47.3066,-122.371,1228,8840,49,0,0
785000,4,2,2290,13416,2,0,2290,47.6194,-122.151,2680,13685,33,0,0
450000,3,1,1250,5963,1,0,1250,47.6796,-122.301,970,5100,62,0,0
228000,3,1,1190,9199,1,0,1190,47.4258,-122.322,1190,9364,59,0,0
345000,5,2,3150,9134,1,0,1640,47.4934,-122.189,1990,9133,49,1,0
600000,3,1,1410,4080,1,0,1000,47.6808,-122.384,1410,4080,64,1,0
585000,2,1,1980,8550,1,0,990,47.6989,-122.369,1480,6738,34,1,0
920000,5,2,2730,6000,1,0,2130,47.6571,-122.281,2730,6000,88,1,0
885000,4,2,2830,5000,2,0,2830,47.6597,-122.29,1950,5000,19,0,0
292500,4,2,2250,4495,2,0,2250,47.3663,-122.114,2250,4500,6,0,0
301000,3,2,2420,4750,2,0,2420,47.3663,-122.122,2690,4750,12,0,0
951000,5,3,3250,14342,2,4,3250,47.588,-122.116,2960,11044,46,0,0
430000,4,3,1850,9976,2,0,1850,47.5059,-122.149,2270,8542,24,0,0
650000,3,2,2150,21235,1,3,1590,47.4336,-122.339,2570,18900,55,1,0
289000,3,1,1260,8400,1,0,1260,47.4366,-122.335,1290,8750,60,0,0
505000,3,1,2519,8690,2,0,2519,47.4428,-122.344,2500,9500,41,0,0
549000,3,1,1540,1044,3,0,1540,47.6765,-122.32,1580,3090,1,0,0
425000,3,2,1660,6000,1,0,1110,47.6113,-122.297,1440,4080,35,1,0
317625,3,2,2770,3809,1,0,1770,47.5747,-122.304,1440,4000,89,1,0
975000,4,2,2720,11049,2,0,2720,47.5815,-122.192,2750,11049,25,0,0
287000,4,2,2240,4648,2,0,2240,47.3378,-122.257,2221,4557,9,0,0
204000,3,1,1000,12070,1,0,1000,47.3621,-122.11,1010,12635,46,0,0
1325000,5,2,3200,20158,1,0,1600,47.6303,-122.215,3390,20158,49,1,0
325000,3,2,1260,5612,1,0,1260,47.7362,-122.179,1640,4745,43,0,0
571000,4,2,2750,7807,1,0,2250,47.7168,-122.287,1510,7807,98,1,0
360000,4,2,2380,5000,2,0,2380,47.3608,-122.036,2420,5000,9,0,0
349000,3,1,1790,50529,1,0,1090,47.3511,-122.073,1940,50529,50,1,0
380000,4,1,1760,7300,1,0,880,47.6034,-122.125,1680,7500,58,1,0
480000,3,1,1040,5060,1,0,1040,47.5636,-122.394,890,5060,74,0,0
410000,3,1,1410,5060,1,0,910,47.7073,-122.34,1130,5693,58,1,0
720000,4,2,3450,39683,2,0,3450,47.342,-122.025,3350,39750,13,0,0
390000,3,2,2350,5100,2,0,2350,47.3512,-122.008,2350,5363,11,0,0
360000,4,2,1900,5889,2,0,1900,47.349,-122.031,1870,6405,22,0,0
355000,2,1,2020,6720,1,0,1010,47.5474,-122.291,1720,6720,66,1,0
356000,3,1,1680,8712,1,0,1680,47.4811,-122.149,1850,8797,51,0,0
315000,3,1,960,6634,1,0,960,47.7264,-122.31,1570,7203,62,0,0
940000,3,1,2140,3600,2,0,1900,47.6337,-122.365,2020,4800,89,1,0
305000,5,2,2660,8400,1,0,2660,47.2909,-122.189,1590,8165,53,0,0
461000,3,3,2770,6278,2,0,1980,47.5228,-122.199,1900,7349,8,1,0
215000,2,2,1610,2040,2,0,1610,47.518,-122.194,1950,2025,35,0,0
335000,2,1,1030,1066,2,0,765,47.5394,-122.387,1030,1106,8,1,0
243500,4,2,1980,7403,2,0,1980,47.2897,-122.372,1980,7510,26,0,0
1099880,5,2,3520,6353,2,0,3520,47.6506,-122.391,2520,6250,14,0,0
153000,3,1,1200,10500,1,0,1200,47.322,-122.351,1350,10500,53,0,0
430000,3,1,1580,5000,1,0,1290,47.687,-122.386,1570,4500,75,1,0
700000,3,1,1580,5000,1,0,1290,47.687,-122.386,1570,4500,75,1,0
905000,4,2,3300,10250,1,0,2390,47.5873,-122.249,1950,6045,68,1,1
247500,3,1,1960,15681,1,0,1960,47.3576,-122.277,1750,15616,48,0,0
199000,4,1,1160,6400,1,0,1160,47.3036,-122.378,1160,6400,39,0,0
437500,3,2,2320,36847,2,2,2320,47.4838,-121.714,2550,35065,22,0,0
850830,3,2,2070,13241,1,0,1270,47.6415,-122.315,2200,4500,104,1,0
555000,3,2,1980,3478,1,0,1440,47.6775,-122.372,1610,3478,85,1,0
1088000,3,2,2920,8113,2,0,2920,47.5814,-122.196,2370,8113,64,0,1
290000,3,1,1210,33919,1,0,1210,47.4375,-122.184,1640,14910,60,0,0
375000,3,2,2340,10005,1,0,1460,47.4431,-122.133,2250,8162,37,1,0
460000,3,1,1670,4005,1,0,1170,47.6878,-122.38,1240,4005,75,1,0
188500,2,1,1240,2493,1,0,1240,47.3813,-122.322,1270,4966,29,0,0
680000,4,2,3140,28037,2,0,3140,47.7304,-122.082,2990,35001,24,0,0
470000,5,1,2030,12342,2,0,2030,47.6417,-122.109,2500,9433,72,0,0
597750,4,2,2310,9624,2,0,2310,47.5386,-122.053,1940,9636,30,0,0
570000,3,1,1260,3328,1,0,700,47.6823,-122.349,1380,3536,110,1,0
272500,3,1,1540,12600,1,0,1160,47.3624,-122.031,1540,11656,34,1,0
329950,3,1,2080,5969,1,2,1080,47.5474,-122.295,2090,5500,43,1,0
480000,4,2,3230,16171,2,3,2520,47.3183,-122.253,2640,8517,13,1,0
740500,3,3,4380,6350,2,0,2780,47.6981,-122.368,1830,6350,114,1,1
518500,3,3,1590,1102,3,0,1590,47.6824,-122.347,1620,3166,4,0,0
205425,2,1,880,6780,1,0,880,47.5009,-122.248,1190,6780,69,0,0
171800,4,2,1570,9600,1,0,1570,47.4965,-122.303,1880,9000,65,0,0
535000,4,1,1610,2982,1,0,1610,47.587,-122.294,1610,4040,90,0,0
660000,3,2,2400,6474,1,2,1560,47.7728,-122.386,2340,10856,51,1,0
391500,3,2,1450,9132,1,0,1450,47.7288,-122.226,1580,9104,27,0,0
395000,2,1,770,6000,1,0,770,47.6999,-122.364,1710,6000,62,0,0
445000,4,1,2100,4400,1,0,1720,47.5299,-122.266,1850,4400,90,1,0
770000,3,2,2910,10204,2,0,2910,47.6897,-122.098,2700,13992,24,0,0
1450000,4,2,2750,17789,1,0,1980,47.6141,-122.212,3060,11275,101,1,1
445000,3,2,2100,8201,1,2,1620,47.5091,-122.244,2660,8712,47,1,0
260000,4,2,2160,8811,1,0,1360,47.3129,-122.39,2090,8400,36,1,0
822500,5,3,2320,4960,2,0,1720,47.6763,-122.352,1700,4960,88,1,0
430000,4,2,2070,4310,2,0,2070,47.5319,-121.85,1970,3748,11,0,0
212000,3,1,1060,7875,1,0,1060,47.2761,-122.152,1420,7680,29,0,0
660500,4,2,2010,9603,1,0,1440,47.5343,-122.054,2060,9793,29,1,0
453246,3,2,2010,2287,2,0,1390,47.5517,-121.998,1690,1662,1,1,0
675000,4,3,2140,2278,3,0,2140,47.6734,-122.38,1540,2285,10,0,0
199000,3,1,1320,17390,1,0,1320,47.3257,-122.296,1550,19265,58,0,0
220000,4,1,2020,7840,1,0,1010,47.3309,-122.299,1750,8140,46,1,0
452000,4,2,2590,10002,1,0,1340,47.7689,-122.266,1550,10436,46,1,0
382500,2,1,1190,4440,1,0,1190,47.7135,-122.287,1060,5715,33,0,0
519950,3,2,1170,1249,3,0,1170,47.6722,-122.381,1350,1310,1,0,0
665000,2,1,1110,3200,1,0,1110,47.6338,-122.358,1170,3600,89,0,0
527700,5,2,2820,9375,1,0,1550,47.5707,-122.128,2820,9375,46,1,0
205000,3,1,1610,8579,1,0,1010,47.4563,-122.171,1610,8579,53,1,0
420000,3,1,1060,8097,1,0,940,47.7144,-122.351,1560,7940,92,1,0
500000,4,2,2030,8517,1,0,1380,47.5495,-122.174,2230,8824,54,1,0
890000,4,1,2550,4000,2,0,2370,47.6354,-122.353,2200,4000,109,1,0
258000,5,2,2260,12500,1,0,1130,47.3887,-122.286,1360,18000,54,1,0
511000,3,1,1430,3455,1,0,980,47.6873,-122.336,1450,4599,67,1,0
532170,3,2,1360,3090,2,0,1360,47.6838,-122.353,1500,3090,24,0,0
560000,3,1,1110,5000,1,0,1110,47.655,-122.359,1420,5000,68,0,0
282950,3,1,1250,8200,1,0,1250,47.3255,-122.304,1680,8633,61,0,0
350000,1,1,700,5100,1,0,700,47.679,-122.3,1010,5100,72,0,0
215000,3,1,1180,7669,1,0,1180,47.4479,-122.176,1190,7669,47,0,0
650000,5,3,3960,25245,2,0,2500,47.525,-122.172,2640,13675,18,1,0
320000,4,2,2640,7500,1,0,1620,47.3135,-122.369,1980,7875,47,1,0
247000,3,2,1270,7198,1,0,1270,47.2086,-121.996,1160,7198,98,0,1
320000,4,1,1760,11180,1,0,1760,47.4715,-122.118,1730,11180,46,0,0
255000,5,2,2060,8632,1,0,1030,47.4877,-122.335,1010,11680,52,1,0
438000,3,1,1780,9660,1,0,1780,47.7171,-122.193,1200,9660,53,0,0
900000,3,2,3400,16603,2,0,3400,47.6012,-122.023,3400,12601,15,0,0
441000,3,2,1910,7280,1,0,1160,47.7319,-122.224,1710,8152,35,1,0
420000,3,2,2020,38332,1,0,1010,47.4582,-122.023,2110,36590,39,1,0
370000,3,1,1580,7000,1,0,1180,47.7209,-122.168,1640,7500,38,1,0
269950,2,1,1340,7250,1,0,700,47.408,-122.327,1830,9750,66,1,0
807100,4,2,2680,4499,2,0,2680,47.565,-122.125,2920,4500,16,0,0
653000,3,2,2680,9750,1,0,1610,47.7028,-122.231,2480,8750,35,1,0
371500,3,2,1370,8336,1,0,1370,47.7458,-122.331,1770,7288,50,0,0
284000,3,1,1560,21000,1,0,1560,47.4776,-122.337,1070,7920,61,0,0
272000,3,1,2160,7140,1,0,1670,47.3026,-122.374,1930,7350,37,1,0
313000,3,1,1340,7912,1,0,1340,47.7658,-122.339,1480,7940,59,0,0
917500,4,2,3880,35003,2,0,2570,47.6477,-122.182,3740,35230,31,1,0
673000,4,2,2590,8190,2,0,2590,47.5619,-122.125,2260,8335,34,0,0
425000,3,2,1120,1100,2,0,820,47.6106,-122.31,1590,1795,7,1,0
399950,5,2,1970,5400,1,0,1320,47.5868,-122.308,1280,2150,28,1,0
385000,3,1,1220,4800,1,0,1220,47.6101,-122.307,1200,4800,113,0,0
269950,3,1,1950,7560,1,2,1320,47.1976,-121.999,1950,8941,39,1,0
330000,2,1,1350,8220,1,0,1060,47.7224,-122.358,1540,8280,66,1,0
260000,3,2,1670,5797,2,0,1670,47.3505,-122.179,1670,6183,26,0,0
470000,4,3,2380,5125,1,0,1680,47.5384,-122.376,1410,5375,90,1,0
589000,4,3,2440,9600,2,0,2440,47.7044,-122.2,2290,9600,53,0,0
163500,2,1,1050,3419,2,0,1050,47.3848,-122.039,1050,3417,18,0,0
835000,4,2,3130,13412,2,0,2140,47.6993,-122.102,2260,9984,21,1,0
1095000,5,3,4090,12850,1,2,2090,47.6627,-122.188,2540,10270,28,1,0
269000,4,1,1490,10000,1,0,1100,47.3099,-122.379,2190,8910,46,1,0
560000,3,2,1900,8744,2,0,1900,47.62,-122.043,2030,8744,27,0,0
615000,4,1,1330,2400,1,0,1330,47.65,-122.34,1330,4400,114,0,0
585188,3,2,2230,10026,1,0,1430,47.6647,-122.153,2230,9340,39,1,0
305000,3,1,1650,9480,1,0,1220,47.726,-122.191,1540,8400,37,1,0
166950,3,1,1190,8820,1,0,1190,47.4616,-122.184,1230,7980,55,0,0
799000,3,2,2140,9897,1,0,2140,47.5505,-122.219,2680,10083,55,0,0
400000,3,2,2180,7508,1,0,1420,47.7606,-122.336,1900,7818,52,1,0
230000,3,1,1060,10228,1,0,1060,47.7481,-122.3,1570,10228,66,0,0
256883,3,2,1690,5025,2,0,1690,47.2779,-122.347,2550,5001,11,0,0
423000,4,2,1970,6480,1,0,1130,47.5511,-122.312,1500,6480,94,1,0
465000,3,2,2150,4084,2,0,2150,47.5488,-122.372,1750,2385,7,0,0
210000,3,1,860,11725,1,0,860,47.5093,-122.184,1300,9514,72,0,0
297000,3,2,1940,14952,2,0,1940,47.3777,-122.165,2030,10450,20,0,0
470000,3,1,1010,5000,1,0,1010,47.675,-122.394,1680,5000,62,0,0
226500,3,1,1300,7370,1,0,900,47.3025,-122.37,1430,7500,38,1,0
274250,3,1,910,8450,1,0,910,47.4787,-122.158,1400,8040,53,0,0
840000,4,1,2480,11010,1,0,1630,47.5378,-122.219,2770,10744,48,1,0
677900,3,2,2440,4587,2,0,2440,47.7073,-122.114,2750,4587,4,0,0
425000,3,1,1010,5864,1,0,1010,47.5733,-122.381,1290,5000,100,0,0
180250,2,0,900,9600,1,0,900,47.4604,-122.339,1250,14280,73,0,0
464000,6,3,2300,3404,2,0,1600,47.7067,-122.343,1560,1312,94,1,1
320000,4,2,1550,7579,2,0,1550,47.354,-122.047,1630,6397,22,0,0
625504,3,2,1270,1566,2,0,1060,47.6647,-122.284,1160,1327,1,1,0
592500,4,2,2240,12032,1,0,2240,47.6143,-122.017,2520,12368,31,0,0
465000,3,2,2714,17936,2,0,2714,47.3185,-122.275,2590,18386,10,0,0
477000,4,2,1720,6270,2,0,1720,47.5458,-122.268,2130,8700,36,0,0
280000,2,1,850,16400,1,0,850,47.4889,-122.299,1100,14459,92,0,0
445838,3,2,2250,5692,2,0,2250,47.5133,-122.379,1320,5390,14,0,0
1072000,2,2,3900,14864,1,3,1950,47.5884,-122.291,2580,5184,67,1,0
467000,2,1,1320,10800,1,0,1320,47.7145,-122.367,2120,12040,67,0,0
686000,4,2,2760,6440,2,0,2760,47.5836,-122.026,3070,8127,15,0,0
279950,3,2,1750,9750,1,0,1350,47.398,-122.299,1900,10125,53,1,0
527000,4,2,2330,19436,2,0,2330,47.7663,-122.215,1910,10055,27,0,0
325000,3,2,2220,16020,1,0,1780,47.3758,-122.217,2080,9583,48,1,0
328000,3,2,2020,8379,2,0,2020,47.3828,-122.023,2020,8031,20,0,0
390000,3,2,1250,7500,1,0,1250,47.5123,-122.373,1280,7392,72,0,0
479950,2,2,1510,6516,1,0,1510,47.7076,-122.013,1640,6009,10,0,0
264950,4,2,1720,9753,1,0,1120,47.2922,-122.371,1510,9753,36,1,0
235000,3,1,1430,15246,1,0,980,47.4075,-122.214,1960,13068,54,1,0
516500,3,2,1480,4729,2,0,1480,47.6794,-122.034,2250,4729,11,0,0
655000,2,1,1450,15798,2,4,1230,47.4497,-122.375,2030,13193,100,1,1
500000,4,2,2280,15347,1,0,2280,47.5218,-122.164,2280,15347,54,0,0
315000,6,2,2940,7350,1,0,1780,47.3103,-122.339,2120,8236,36,1,0
213000,2,1,1000,10200,1,0,1000,47.5687,-121.899,1150,13702,53,0,0
475000,3,1,2480,5280,1,0,1620,47.5575,-122.303,2090,4800,67,1,0
410000,4,1,1970,4740,1,0,1670,47.6136,-122.303,1510,4740,111,1,1
472000,6,2,4410,14034,1,2,2350,47.3376,-122.324,2600,13988,49,1,0
225000,3,1,1430,8505,1,0,1430,47.3173,-122.319,1190,8640,46,0,0
210000,2,1,830,6000,1,0,830,47.5308,-122.376,830,4960,74,0,0
455000,2,1,1430,5000,1,0,1430,47.6727,-122.299,1450,3750,90,0,0
225000,3,1,1300,8316,1,0,1300,47.3221,-122.216,1260,8316,61,0,0
480000,2,1,1030,3060,1,2,790,47.6779,-122.353,1390,3060,96,1,0
363000,3,2,2740,11872,2,0,2740,47.3076,-122.395,2570,10377,25,0,0
2400000,4,2,3650,8354,1,4,1830,47.6338,-122.072,3120,18841,14,1,0
181000,2,1,720,5120,1,0,720,47.5218,-122.357,1150,2566,61,0,0
250000,4,2,2010,7312,1,0,2010,47.2785,-122.213,2010,7650,39,0,0
481000,3,1,1560,3000,1,0,770,47.6846,-122.345,1390,3000,97,1,0
260000,3,2,1810,7209,1,0,1240,47.3656,-122.278,1750,7209,36,1,0
455000,4,2,3360,7685,2,0,3360,47.4369,-122.111,3060,6567,13,0,0
415000,3,2,1510,36224,2,0,1510,47.4616,-121.711,1730,36224,24,0,0
349500,3,1,1400,3538,1,0,800,47.5405,-122.27,1620,6331,62,1,0
245000,3,2,1730,7442,2,0,1730,47.3507,-122.178,1630,6458,27,0,0
592500,2,2,1420,9191,1,2,1420,47.6979,-122.32,1420,6816,86,0,0
385000,4,1,2360,7620,1,0,1180,47.5278,-122.345,1910,7620,59,1,0
315000,3,1,1580,11455,1,0,1200,47.4756,-122.147,1550,10650,41,1,0
255000,3,1,1230,10170,1,0,1230,47.4437,-121.772,1380,10098,35,0,0
693000,4,2,2460,4425,2,0,2460,47.7048,-122.109,2990,5659,8,0,0
780000,3,1,1660,4400,1,0,1460,47.6362,-122.302,1660,4400,103,1,0
237000,3,1,1270,8470,1,0,1270,47.4207,-122.29,1600,8470,54,0,0
525000,3,2,2100,40510,2,0,1320,47.6154,-122.047,2380,33450,35,1,0
425000,2,1,770,5040,1,0,770,47.5964,-122.299,1330,2580,85,0,0
369900,1,0,760,10079,1,4,760,47.4683,-122.438,1230,14267,78,0,0
290000,4,2,1700,7280,2,0,1700,47.4045,-122.171,1950,7475,26,0,0
285000,3,1,1120,10701,1,0,1120,47.5544,-122.358,1130,6350,60,0,0
415000,2,1,1070,4500,1,0,1070,47.6802,-122.29,1320,4465,77,0,0
272500,3,2,2070,9900,1,0,1420,47.2988,-122.371,2070,8250,36,1,0
436000,2,1,1040,7538,1,0,1040,47.7107,-122.352,1440,7530,76,0,0
210000,3,1,1700,11390,1,0,1700,47.3271,-122.323,1350,8164,47,0,0
236000,3,1,1300,5898,1,0,1300,47.5053,-122.255,1320,7619,53,0,0
331000,3,1,1080,1306,1,0,580,47.6601,-122.4,1440,2225,60,1,1
365000,3,2,2653,4510,2,0,2653,47.4145,-122.166,2653,4927,9,0,0
450000,3,2,2290,16258,1,0,2290,47.4672,-122.165,1660,10530,55,0,0
770000,4,2,3820,26300,2,0,2850,47.7618,-122.261,1860,12136,1,1,0
455000,4,2,2210,49375,1,0,2210,47.3828,-122.071,2670,49385,18,0,0
405000,3,1,2390,6000,1,0,1240,47.5362,-122.268,2020,6000,107,1,0
304900,4,1,2600,11325,1,0,1610,47.3954,-122.206,1720,11088,45,1,0
170000,2,1,860,5265,1,0,860,47.5048,-122.272,1650,8775,84,0,0
2050000,5,3,3830,8480,2,1,2630,47.6166,-122.287,3050,7556,110,1,1
330000,3,3,2420,13959,1,0,1740,47.7486,-122.23,2570,13300,27,1,0
370000,4,2,2720,8666,2,0,2720,47.3846,-122.169,2410,8100,22,0,0
467000,5,2,2500,13500,1,0,1850,47.7564,-122.144,2300,9750,35,1,0
405000,3,1,1670,6720,1,0,1140,47.7198,-122.193,1670,7320,35,1,0
675000,5,2,2900,10300,1,0,1450,47.5461,-122.151,2310,10300,29,1,0
500000,2,1,1640,14100,1,0,1140,47.5712,-122.143,1520,13527,60,1,0
389999,4,2,1890,15770,2,0,1890,47.4281,-122.343,2410,15256,46,0,0
630000,4,1,2950,9025,1,2,1780,47.7128,-122.223,2120,9600,40,1,0
360000,4,2,2160,9528,2,0,2160,47.3341,-122.255,2280,9937,22,0,0
580000,4,3,3280,11060,2,0,2270,47.5399,-122.181,2320,11004,28,1,0
550000,3,2,1970,4166,2,3,1270,47.5717,-122.375,2390,4166,85,1,0
879000,4,2,3360,22111,2,0,3360,47.5951,-122.017,3150,11374,20,0,0
265000,3,2,1320,8959,1,0,1320,47.3536,-122.144,1740,7316,21,0,0
446500,3,2,2650,7286,2,0,2650,47.5084,-122.154,2400,7220,25,0,0
404000,3,1,2030,8880,1,0,1330,47.5586,-122.311,2140,5592,51,1,0
267500,3,1,1590,11914,1,2,1090,47.4427,-122.274,1630,9052,57,1,0
335000,3,2,2440,7632,2,0,2440,47.3494,-122.301,2510,7903,16,0,0
576000,3,2,1940,9000,1,0,970,47.6933,-122.393,2190,7310,66,1,0
208633,3,2,2040,3810,2,0,2040,47.3537,-122.0,2370,4590,9,0,0
315000,3,2,2200,8750,1,0,1120,47.476,-122.337,1460,10139,51,1,0
725000,3,1,1920,3300,1,0,960,47.6239,-122.298,1740,4000,102,1,0
550000,4,2,1800,7750,1,0,1400,47.7776,-122.384,1800,8275,50,1,0
610750,4,2,2180,7297,2,0,2180,47.6459,-122.058,2250,9781,30,0,0
550700,2,1,1010,5000,1,0,1010,47.6692,-122.297,1460,5000,107,0,0
665000,4,2,3320,10574,2,0,2220,47.5376,-122.18,2720,8330,55,1,0
834000,4,2,2370,4000,1,2,1980,47.601,-122.294,2440,5750,87,1,0
2384000,5,2,3650,9050,2,4,3370,47.6345,-122.367,2880,5400,93,1,0
305000,4,2,1950,7700,1,0,1350,47.4441,-122.125,2150,7350,35,1,0
487000,3,2,2590,14052,1,0,1720,47.7357,-122.333,1570,8162,67,1,0
548000,2,1,1470,3864,1,0,1170,47.6638,-122.345,1570,3864,98,1,0
268750,4,1,800,8775,1,0,800,47.48,-122.336,1310,8775,71,0,0
819900,5,2,3150,7119,2,0,3150,47.6759,-122.151,1560,8384,1,0,0
520000,3,2,2030,16200,2,0,2030,47.5162,-122.057,2660,17958,30,0,0
230000,3,2,1450,11204,1,0,1450,47.2639,-122.252,1520,9518,11,0,0
240000,3,1,1510,10248,1,0,1510,47.2929,-122.371,1510,9753,46,0,0
232000,2,1,1240,12092,1,0,960,47.4957,-122.352,1820,7460,92,1,1
240500,2,1,1240,12092,1,0,960,47.4957,-122.352,1820,7460,93,1,1
274975,3,2,3030,45004,2,0,3030,47.7721,-122.093,3080,35781,27,0,0
740000,4,2,2050,4400,1,0,2050,47.644,-122.319,2320,5500,92,0,0
186375,3,1,1000,7636,1,0,1000,47.472,-122.344,1150,7600,63,0,0
790000,3,2,2370,10289,1,0,1590,47.592,-122.166,2500,10004,37,1,0
880000,4,3,2800,6750,2,0,1890,47.669,-122.275,2370,6120,63,1,1
279000,6,1,2240,11180,2,0,2240,47.42,-122.323,1590,7955,60,0,0
295000,3,2,1810,10530,1,2,1810,47.1913,-122.012,1910,10450,23,0,0
640000,2,1,1070,5000,1,0,1070,47.6666,-122.331,1710,5000,91,0,0
940000,4,2,2490,9525,2,0,2490,47.5639,-122.217,2770,9525,46,0,0
260000,4,2,1960,5238,2,0,1960,47.3483,-122.052,1800,5894,11,0,0
559900,3,2,2930,5569,1,0,1860,47.7648,-122.164,2580,11045,10,1,0
791500,4,2,1510,3500,1,0,1510,47.6794,-122.357,1820,3750,103,0,0
265000,3,1,1420,8250,1,0,1420,47.7535,-122.354,1740,8000,60,0,0
485000,4,1,2560,43995,2,0,2560,47.6945,-122.093,2560,14764,53,0,0
684000,4,3,3040,8414,2,0,2420,47.5222,-122.157,3470,8066,4,1,0
425000,3,1,2500,6840,1,0,1300,47.7222,-122.32,1580,8691,57,1,0
309600,4,1,1275,20000,1,0,1275,47.3796,-122.49,1660,20000,23,0,0
552250,4,2,2580,5823,2,0,2580,47.5374,-121.875,2380,5823,12,0,0
165000,4,1,1000,7134,1,0,1000,47.4897,-122.24,1020,7138,71,0,0
239900,4,1,1000,7134,1,0,1000,47.4897,-122.24,1020,7138,71,0,0
320000,2,1,1070,32633,1,0,1070,47.4716,-122.078,1360,32156,84,0,0
206600,3,2,1390,13464,1,0,1390,47.3581,-122.173,1720,12080,27,0,0
387000,4,1,2500,7690,1,0,1250,47.7713,-122.307,2040,8646,42,1,0
299000,1,0,560,12120,1,0,560,47.675,-121.854,1300,19207,47,0,0
855000,4,2,2270,10460,2,0,2270,47.5603,-122.222,2610,10180,49,0,0
315000,3,1,1900,14400,1,0,1300,47.4147,-122.337,1940,14400,61,1,0
437500,2,1,990,3120,1,2,790,47.68,-122.353,1930,3120,107,1,0
252000,4,1,1550,19800,1,0,1050,47.3117,-122.27,1640,22654,46,1,0
375000,4,1,2200,7475,1,0,1100,47.543,-122.28,1600,5766,59,1,0
300000,4,2,1910,4862,2,0,1910,47.3607,-122.034,2010,5091,9,0,0
420000,4,1,1750,9600,1,0,1750,47.5759,-122.137,1750,10530,60,0,0
